,online_order,book_table,rate,votes,location,rest_type,cuisines,Cost2plates
61,1,1,3.6,163,41,2,69,32
62,1,0,3.8,58,4,6,21,9
63,0,1,4.0,808,1,2,45,33
64,0,0,3.7,78,1,8,3,9
65,1,0,4.1,1720,4,6,69,22
66,1,0,3.6,34,18,6,60,5
67,0,0,4.1,868,1,8,69,39
68,0,0,3.8,39,1,0,4,18
69,1,0,3.2,71,4,6,69,28
70,1,0,3.6,6,1,7,69,25
71,0,0,4.1,520,1,6,69,18
72,0,0,3.700141861024285,0,1,6,43,9
73,0,0,2.9,84,1,4,69,30
74,0,0,3.6,299,1,6,69,18
75,0,0,3.700141861024285,0,1,7,69,25
76,1,0,4.1,558,4,6,60,9
77,1,0,3.6,28,1,6,14,18
78,0,0,3.7,22,1,6,31,25
79,0,0,3.8,39,1,6,63,20
80,1,0,3.8,153,41,8,69,25
81,1,0,4.2,146,1,8,69,22
82,0,0,3.5,14,1,8,42,14
83,0,0,3.8,42,1,2,45,30
84,0,0,3.700141861024285,0,1,6,62,5
85,0,0,4.0,66,1,0,4,18
86,1,0,4.4,4401,18,2,13,28
87,0,0,3.5,31,1,6,43,14
88,0,0,3.5,7,1,5,27,25
89,0,0,3.7,21,1,6,9,17
90,0,0,3.700141861024285,0,1,4,4,25
91,0,0,3.700141861024285,0,1,7,60,22
92,0,0,3.700141861024285,0,1,8,60,14
93,0,0,3.2,9,1,5,36,18
94,0,0,2.6,283,1,2,43,28
95,0,0,3.3,62,1,8,66,32
96,0,0,3.8,64,1,6,69,17
97,0,0,3.7,39,1,2,69,35
98,0,0,3.7,65,1,6,69,18
99,1,0,3.8,71,4,5,69,22
100,0,0,3.5,52,1,6,60,18
101,0,0,3.7,130,1,6,60,14
102,0,0,3.5,10,1,6,61,18
103,0,0,3.8,45,1,7,3,22
104,0,0,3.2,11,1,1,17,28
105,0,0,3.5,13,1,0,4,18
106,0,0,3.4,8,1,6,69,18
107,0,0,3.700141861024285,0,1,7,6,17
108,0,0,3.2,9,1,6,9,18
109,0,0,3.2,4,1,6,43,18
110,0,0,3.700141861024285,0,1,7,69,14
111,0,0,3.1,29,1,6,43,9
112,0,0,3.4,8,1,0,4,22
113,0,0,3.700141861024285,0,1,5,41,9
114,0,0,3.700141861024285,0,1,0,3,18
115,0,0,3.700141861024285,0,1,6,57,14
116,0,0,3.700141861024285,0,1,7,60,9
117,0,0,3.700141861024285,0,1,5,69,9
118,0,0,3.700141861024285,0,1,6,69,17
119,0,0,3.1,30,1,8,23,36
120,1,0,4.1,201,1,6,67,18
121,0,0,3.3,7,1,6,69,14
122,0,0,3.1,6,1,6,69,5
123,0,0,3.3,17,1,6,69,14
124,0,0,2.9,25,1,5,37,14
125,0,0,3.700141861024285,0,1,4,69,22
126,0,0,3.700141861024285,0,1,6,69,20
127,0,0,3.3,8,1,4,60,5
128,0,0,3.700141861024285,0,1,6,69,9
129,0,0,3.700141861024285,0,1,6,60,9
130,0,0,3.700141861024285,0,1,7,69,14
131,0,0,3.700141861024285,0,1,6,43,5
132,0,0,3.700141861024285,0,1,6,10,22
133,0,0,3.700141861024285,0,1,8,69,14
134,0,0,3.700141861024285,0,1,8,69,9
135,0,0,3.700141861024285,0,1,7,60,22
136,0,0,3.700141861024285,0,1,6,62,9
137,0,0,3.700141861024285,0,1,6,0,17
138,0,0,3.700141861024285,0,1,6,9,17
139,0,0,3.700141861024285,0,1,6,61,9
140,0,0,3.700141861024285,0,1,8,27,14
141,0,0,3.700141861024285,0,1,8,69,20
142,0,0,3.700141861024285,0,1,6,61,18
143,0,0,3.700141861024285,0,1,7,59,5
144,0,0,3.700141861024285,0,1,6,69,9
145,1,0,4.0,771,1,2,66,23
146,0,0,3.0,98,1,8,45,32
147,1,0,3.9,47,4,6,60,14
148,1,1,4.1,175,18,2,69,25
149,1,0,3.8,58,1,6,69,18
150,1,0,3.8,540,4,2,69,29
151,1,0,3.8,124,41,6,69,22
152,1,0,4.1,340,1,7,69,25
153,1,0,3.8,505,1,6,15,23
154,0,0,3.700141861024285,0,1,6,31,5
155,1,0,4.1,438,18,5,69,25
156,1,0,3.7,264,41,2,69,31
157,1,0,3.9,169,41,8,69,9
158,1,0,3.0,67,41,6,45,17
159,1,0,3.7,97,18,6,54,20
160,1,0,3.3,12,4,7,9,18
161,1,0,3.3,12,1,6,9,18
162,1,0,3.6,195,18,2,69,32
163,1,0,3.3,13,4,8,69,18
164,1,0,4.6,228,18,1,69,22
165,1,0,4.1,70,4,6,62,9
166,1,1,4.1,364,18,2,69,39
167,1,0,3.7,107,4,8,69,9
168,1,0,3.2,167,41,6,69,18
169,1,0,4.0,115,1,8,42,22
170,1,0,3.7,27,1,7,38,22
171,1,0,3.5,57,1,6,9,14
172,1,0,3.8,120,1,6,69,17
173,1,0,3.8,15,4,0,3,22
174,1,0,4.2,64,4,6,69,25
175,1,0,3.6,66,1,6,60,9
176,1,0,3.0,290,1,6,69,23
177,1,0,4.1,233,4,6,68,14
178,1,0,3.8,115,41,6,69,17
179,1,0,3.1,119,1,2,69,30
180,1,1,3.9,291,18,1,69,29
181,1,0,4.5,155,18,8,69,18
182,1,0,4.1,305,41,2,69,30
183,1,0,3.6,46,1,6,69,25
184,1,0,3.5,45,41,6,69,20
185,1,0,3.9,38,1,5,36,9
186,1,0,3.9,441,1,6,69,22
187,1,0,3.9,25,4,6,60,5
188,1,0,4.3,630,18,6,69,14
189,1,0,3.8,25,41,6,60,9
190,1,0,3.9,160,41,6,2,18
191,1,0,4.2,287,1,6,43,20
192,1,0,3.6,11,4,6,60,5
193,1,0,4.1,402,1,1,16,25
194,1,0,3.8,469,4,2,69,31
195,1,0,3.3,511,41,2,69,26
196,1,0,3.9,57,1,6,67,14
197,1,0,3.4,14,1,6,60,18
198,1,0,3.9,264,1,6,60,14
199,1,0,3.0,62,1,1,69,22
200,1,0,3.8,693,1,2,59,31
201,1,0,3.8,242,18,2,69,29
202,1,0,3.6,27,4,5,31,17
203,1,0,4.1,163,4,6,69,25
204,1,0,4.2,191,4,6,69,17
205,1,0,3.5,32,1,6,69,9
206,1,0,2.5,247,1,2,43,25
207,1,1,4.1,2339,18,2,69,45
208,1,0,4.1,337,18,6,69,18
209,1,0,3.9,135,1,2,47,32
210,1,0,3.6,172,41,2,45,30
211,1,0,3.6,105,1,2,69,30
212,1,0,4.2,504,1,1,69,26
213,1,0,3.2,36,41,6,69,14
214,1,0,3.1,39,41,6,43,18
215,1,0,3.1,5,41,2,69,25
216,1,0,3.700141861024285,0,4,6,45,18
217,1,1,4.3,1129,18,2,69,41
218,1,0,3.9,56,41,6,45,20
219,1,0,4.3,860,1,5,30,25
220,1,0,3.8,412,18,2,69,30
221,1,1,3.9,142,18,2,69,36
222,1,0,3.0,23,18,6,0,22
223,1,0,3.6,143,18,2,69,31
224,1,1,2.8,80,18,2,69,25
225,1,0,3.6,16,17,2,60,22
226,1,0,4.4,181,18,8,69,17
227,1,0,3.8,70,18,6,57,14
228,1,0,3.8,164,4,6,69,28
229,1,0,3.6,58,41,6,69,29
230,0,0,3.8,148,4,8,69,26
231,0,0,3.9,206,4,6,69,23
232,0,0,3.700141861024285,0,4,0,4,18
233,0,0,3.700141861024285,0,17,5,36,14
234,0,0,3.6,16,41,6,60,18
235,0,0,3.7,217,4,2,69,23
236,0,0,3.6,46,4,6,69,23
237,0,0,3.8,148,4,6,69,9
238,0,0,3.4,30,4,5,27,17
239,0,0,3.6,8,41,2,69,32
240,0,0,3.3,4,18,6,60,17
241,0,0,3.5,15,4,8,3,22
242,0,0,3.700141861024285,0,4,6,60,5
243,0,0,3.700141861024285,0,41,6,45,18
244,0,0,3.700141861024285,0,18,6,69,14
245,1,0,3.4,9,41,6,68,14
246,0,0,3.700141861024285,0,41,6,46,20
247,1,0,3.7,31,41,6,65,18
248,1,0,2.9,177,18,2,69,30
249,1,0,3.7,22,4,8,69,17
250,1,0,3.5,10,41,8,69,5
251,1,0,3.7,136,1,6,69,28
252,1,0,2.9,35,41,6,45,17
253,1,0,4.1,185,18,6,69,14
254,1,0,3.2,17,18,1,20,34
255,1,0,3.8,155,41,2,67,22
256,1,0,3.8,42,1,6,66,18
257,1,0,3.8,286,4,2,43,28
258,1,0,3.8,160,1,2,45,30
259,1,0,3.8,59,1,2,45,31
260,1,0,3.5,90,18,2,69,25
261,1,0,3.7,51,41,6,69,20
262,1,0,4.0,89,18,6,69,14
263,1,0,3.6,18,1,6,34,17
264,1,0,3.9,40,4,2,69,28
265,1,0,2.5,35,4,6,31,14
266,1,0,3.4,89,18,6,69,17
267,1,0,3.2,11,4,6,8,9
268,1,0,3.6,62,1,8,69,28
269,1,0,3.9,33,18,5,27,18
270,1,0,3.8,32,18,8,69,17
271,1,0,4.1,139,18,2,50,26
272,1,0,3.2,154,41,6,31,18
273,1,0,3.6,14,1,0,4,20
274,1,0,3.7,237,1,6,64,14
275,1,0,3.9,388,1,2,69,29
276,1,0,3.700141861024285,0,18,6,62,18
277,1,0,3.9,128,41,2,69,25
278,1,1,4.1,1875,18,2,69,39
279,1,0,3.8,90,1,1,16,29
280,1,0,3.1,7,41,6,69,17
281,1,0,3.7,38,41,2,65,22
282,1,0,4.2,179,1,4,58,28
283,1,0,4.0,43,4,5,30,17
284,1,0,4.3,275,4,6,60,5
285,1,0,3.7,323,18,2,25,33
286,1,0,3.1,28,41,2,66,22
287,1,0,3.9,18,4,6,69,14
288,1,0,3.3,6,4,6,69,5
289,1,0,3.700141861024285,0,4,5,6,5
290,1,0,4.3,322,18,2,60,22
291,1,0,2.6,157,18,1,69,23
292,1,0,3.9,543,4,6,64,18
293,1,0,3.7,180,1,1,69,25
294,1,0,4.2,444,4,6,60,5
295,1,0,3.9,134,18,6,69,22
296,1,0,3.8,577,18,2,69,34
297,1,0,4.2,60,1,6,67,14
298,1,0,3.9,144,18,2,69,26
299,1,0,4.1,787,1,2,69,32
300,1,0,3.6,16,4,6,60,14
301,1,0,3.6,84,1,6,66,17
302,1,0,3.6,95,1,6,69,9
303,1,1,4.0,349,1,2,69,39
304,1,0,3.7,248,41,6,52,22
305,1,0,4.1,216,4,1,69,25
306,1,0,3.700141861024285,0,41,2,9,22
307,1,0,4.0,324,1,1,69,30
308,1,0,2.6,231,41,6,69,22
309,1,0,3.4,102,41,2,69,22
310,1,0,3.9,133,1,1,69,32
311,1,0,2.8,45,1,2,69,32
312,1,0,3.9,149,41,6,69,18
313,1,0,3.8,75,1,6,69,14
314,1,0,4.0,53,41,4,69,28
315,1,1,4.2,815,18,2,45,34
316,1,1,4.0,633,1,2,45,32
317,1,0,3.5,56,18,5,69,22
318,1,0,3.0,82,1,6,67,18
319,1,0,3.7,35,18,6,31,14
320,1,0,3.6,20,4,6,69,9
321,1,0,3.1,14,41,6,69,17
322,1,0,3.9,70,1,5,69,22
323,1,0,3.9,91,18,1,69,18
324,1,0,3.6,45,18,6,9,14
325,1,0,3.4,7,1,6,45,17
326,1,0,3.8,28,1,6,31,9
327,1,0,3.6,24,1,2,45,28
328,1,0,3.8,36,4,5,69,14
329,1,0,3.5,11,18,6,31,14
330,1,0,3.8,77,41,1,69,29
331,1,0,3.2,8,1,8,42,5
332,1,0,3.7,14,18,6,60,5
333,1,0,3.8,210,41,2,48,28
334,1,0,4.1,130,18,1,69,29
335,1,0,4.1,30,18,8,69,5
336,1,0,3.8,144,1,1,69,30
337,1,0,3.4,11,4,8,69,32
338,1,0,3.7,133,18,2,69,30
339,1,0,4.0,136,18,6,64,20
340,1,0,3.1,4,4,6,66,14
341,1,0,3.5,11,4,8,69,14
342,1,0,3.8,74,4,6,66,18
343,1,0,3.7,30,4,6,69,18
344,1,0,3.0,7,4,6,69,14
345,1,0,3.8,75,1,8,69,14
346,1,0,3.7,54,4,1,69,28
347,1,0,3.6,23,4,8,7,5
348,1,0,3.2,119,1,2,45,22
349,1,0,3.7,73,1,6,10,22
350,1,0,3.4,58,4,1,20,22
351,1,0,3.6,129,1,2,69,28
352,1,0,3.6,24,1,6,69,17
353,1,0,3.0,175,41,6,23,22
354,1,0,3.7,21,41,6,60,18
355,1,0,3.5,41,41,8,69,22
356,1,0,3.6,35,18,6,69,18
357,1,0,4.1,176,4,2,69,32
358,1,0,3.5,45,1,8,69,18
359,1,0,3.7,47,18,8,69,22
360,1,1,3.7,36,18,2,69,29
361,1,0,3.8,52,41,8,8,22
362,1,0,2.7,123,1,6,31,14
363,1,0,3.6,59,41,2,43,30
364,1,0,3.2,4,41,6,61,18
365,1,0,3.8,101,1,6,10,22
366,1,0,3.7,54,1,8,69,22
367,1,0,3.700141861024285,0,1,6,60,14
368,1,0,3.6,22,4,6,31,14
369,1,0,3.1,31,1,8,69,17
370,1,0,3.0,29,41,1,69,25
371,1,0,3.4,6,18,8,6,5
372,1,0,3.0,22,4,6,66,17
373,1,0,2.9,11,1,6,43,25
374,1,0,3.9,101,4,6,60,9
375,1,1,4.1,442,18,8,69,39
376,1,0,3.5,155,4,6,10,22
377,1,0,3.4,12,1,8,69,9
378,1,0,3.6,15,4,6,60,5
379,1,0,3.5,10,4,6,60,14
380,1,0,3.8,25,1,6,60,18
381,1,0,3.8,61,1,6,45,18
382,1,0,3.7,23,41,6,69,18
383,1,0,3.8,25,4,6,69,20
384,1,0,3.7,40,41,6,69,14
385,1,0,3.3,4,4,6,69,5
386,1,0,3.4,8,4,6,69,9
387,1,0,3.5,32,41,6,45,18
388,1,0,3.3,10,4,6,60,14
389,1,0,3.4,6,4,6,34,18
390,1,0,3.8,53,18,6,69,17
391,1,0,3.7,67,41,2,43,30
392,1,0,2.9,23,18,8,41,17
393,1,0,3.4,19,1,6,65,14
394,1,0,3.6,24,1,6,69,18
395,1,0,4.0,232,18,6,62,22
396,1,0,3.9,221,18,2,21,30
397,1,1,4.1,1063,18,3,69,39
398,1,0,3.7,93,4,6,68,14
399,1,0,3.9,233,18,2,69,32
400,1,0,3.9,211,18,2,69,25
401,1,0,4.0,1778,18,6,69,14
402,1,0,3.6,218,41,2,50,32
403,1,0,3.7,514,4,1,69,28
404,1,1,4.0,866,18,2,51,34
405,1,0,3.2,96,41,6,43,22
406,1,0,3.5,80,1,6,69,17
407,1,0,4.0,73,4,0,69,18
408,1,0,3.9,84,18,8,42,22
409,1,0,3.5,88,1,6,69,20
410,1,0,3.5,179,1,2,69,28
411,1,0,3.8,61,4,6,69,5
412,1,0,3.7,128,41,2,69,23
413,1,0,3.8,339,18,6,66,22
414,1,0,4.1,449,4,6,68,5
415,1,0,4.1,210,18,8,6,9
416,1,0,3.7,57,4,6,69,14
417,1,0,3.0,213,1,6,69,22
418,1,0,3.2,208,18,8,69,17
419,1,0,3.8,70,1,6,60,5
420,1,0,4.0,219,4,1,69,28
421,1,0,3.7,59,1,6,57,14
422,1,0,3.1,10,1,6,33,25
423,1,0,3.0,9,41,6,69,22
424,1,0,3.7,124,41,2,69,31
425,1,0,3.7,19,41,6,60,5
426,1,0,3.700141861024285,0,18,7,43,18
427,1,0,3.3,4,4,6,69,9
428,1,0,3.3,4,41,5,30,9
429,1,0,3.8,21,4,5,37,14
430,1,0,3.4,8,1,8,69,17
431,1,0,3.5,10,41,6,50,22
432,1,0,3.700141861024285,0,1,6,54,22
433,1,0,3.5,10,41,6,43,22
434,1,0,3.2,4,41,6,69,14
435,1,0,3.1,4,1,4,43,20
436,1,0,3.700141861024285,0,41,6,69,18
437,1,0,3.6,16,17,7,69,25
439,1,0,3.700141861024285,0,41,7,3,18
441,1,0,3.4,12,18,6,69,18
442,1,0,3.700141861024285,0,18,0,3,9
443,1,0,3.9,14,18,2,55,28
444,1,0,3.7,0,18,6,69,18
445,1,0,2.8,5,41,7,69,13
446,1,0,3.3,5,4,3,69,32
447,1,0,3.5,15,1,6,69,17
448,1,0,3.4,4,4,2,52,25
449,1,0,3.700141861024285,0,41,8,69,17
450,1,0,3.6,17,4,6,69,18
451,1,0,3.700141861024285,0,1,6,69,14
452,1,0,3.700141861024285,0,4,6,58,18
453,1,0,3.3,6,1,6,65,25
454,1,0,3.4,10,1,6,60,5
455,1,0,3.700141861024285,0,4,6,69,14
456,1,1,4.1,775,1,2,54,32
457,1,1,4.2,2022,18,2,55,36
458,1,0,3.700141861024285,0,4,6,43,5
459,1,0,3.700141861024285,0,41,6,55,9
460,1,1,4.2,150,1,1,69,28
461,1,0,4.0,232,4,2,45,31
462,1,0,3.9,38,4,6,21,14
463,1,0,3.700141861024285,0,1,6,69,18
464,1,1,3.5,431,18,2,43,32
465,1,1,4.2,2115,1,2,69,32
466,1,0,3.4,30,41,6,69,14
467,1,0,4.2,150,18,2,43,32
468,1,0,3.3,12,41,6,69,14
469,1,0,3.8,155,18,2,67,23
470,1,0,3.7,33,4,6,31,14
471,1,1,4.1,666,18,3,69,36
472,1,0,3.700141861024285,0,18,6,69,14
473,1,0,3.9,240,4,1,16,30
474,1,0,3.8,918,1,8,69,32
475,1,0,4.0,465,18,2,67,28
476,1,1,4.1,970,18,8,69,45
477,1,0,3.3,128,1,6,45,18
478,1,0,3.6,241,41,6,45,18
479,1,0,3.4,22,1,6,60,14
480,1,0,4.3,734,1,6,67,14
481,1,0,3.8,130,18,6,44,22
482,1,0,4.2,261,18,1,69,30
483,1,0,4.0,191,41,6,69,18
484,1,0,4.1,364,4,2,69,26
485,1,0,3.700141861024285,0,41,6,69,25
486,1,0,3.8,133,1,6,69,18
487,1,0,3.9,888,1,2,69,31
488,1,0,3.1,13,1,1,69,22
489,1,0,3.9,750,4,2,50,25
490,1,1,4.2,164,1,1,69,25
491,0,0,3.700141861024285,0,4,6,31,14
492,1,0,3.2,6,1,4,69,14
493,1,0,3.8,527,4,2,43,25
494,0,0,4.3,345,1,5,37,22
495,0,0,4.4,356,1,8,41,9
496,1,0,3.7,17,1,5,29,22
497,1,0,3.9,38,1,5,36,9
498,0,0,3.7,78,1,8,3,9
499,0,0,3.8,60,1,5,3,22
500,1,0,4.0,115,1,8,42,22
501,0,0,3.8,39,1,0,4,18
502,1,0,3.9,116,1,5,69,22
503,1,0,3.8,918,1,8,69,32
504,0,0,3.7,46,1,8,42,22
505,1,0,3.9,41,1,5,27,18
506,1,0,3.8,144,1,1,69,30
507,0,0,3.8,28,1,8,69,9
508,1,0,4.3,860,1,5,30,25
509,0,0,3.5,14,1,8,42,14
510,0,0,4.0,66,1,0,4,18
511,1,0,3.2,8,1,8,42,5
512,1,0,3.7,54,1,8,69,22
513,0,0,3.5,7,1,5,27,25
514,0,0,3.2,9,1,5,36,18
515,0,0,3.6,42,1,8,69,18
516,0,0,3.8,64,1,6,69,17
517,1,0,3.6,14,1,0,4,20
518,0,0,3.8,45,1,7,3,22
519,0,0,3.2,11,1,1,17,28
520,0,0,3.5,13,1,0,4,18
521,0,0,3.4,7,1,5,37,9
522,0,0,3.4,8,1,0,4,22
523,0,0,3.700141861024285,0,1,5,41,9
524,0,0,3.700141861024285,0,1,0,3,18
525,0,0,2.9,25,1,5,37,14
526,0,0,3.700141861024285,0,1,0,3,18
527,0,0,3.2,17,1,5,30,9
528,0,0,3.700141861024285,0,1,4,4,25
529,0,0,3.700141861024285,0,1,8,41,18
530,0,0,3.700141861024285,0,1,8,27,14
531,1,0,3.700141861024285,0,1,6,69,14
532,1,0,3.9,35,1,4,4,25
533,1,0,3.9,70,1,5,69,22
534,0,0,3.700141861024285,0,1,5,36,5
535,0,0,4.0,98,4,8,69,22
536,0,0,3.7,25,4,5,37,17
537,1,0,4.0,219,4,1,69,28
538,1,0,4.0,73,4,0,69,18
539,0,0,3.6,16,4,8,69,9
540,0,0,3.6,8,4,0,4,17
541,1,0,3.8,15,4,0,3,22
542,0,0,3.6,46,4,8,42,14
543,0,0,3.700141861024285,0,4,0,4,18
544,1,0,3.3,13,4,8,69,18
545,1,0,3.3,9,4,5,27,17
546,1,0,4.0,43,4,5,30,17
547,1,0,2.7,97,4,2,67,22
548,0,0,3.700141861024285,0,17,5,36,14
549,1,0,3.7,22,4,8,69,17
550,0,0,3.5,15,4,8,3,22
551,0,0,3.700141861024285,0,18,8,27,20
552,1,0,3.6,27,4,5,31,17
553,1,1,3.700141861024285,0,1,2,69,25
554,1,0,3.9,888,1,2,69,31
555,1,1,4.0,349,1,2,69,39
556,1,0,4.2,287,1,6,43,20
557,1,1,4.6,2556,1,8,69,28
558,1,1,4.2,354,1,2,69,32
559,1,1,4.1,775,1,2,54,32
560,1,1,4.2,2115,1,2,69,32
561,0,1,3.8,977,1,8,35,41
562,0,0,4.1,868,1,8,69,39
563,1,0,4.0,324,1,1,69,30
564,1,0,4.1,787,1,2,69,32
565,1,0,4.2,504,1,1,69,26
566,1,0,4.1,402,1,1,16,25
567,1,1,4.2,150,1,1,69,28
568,1,1,4.2,164,1,1,69,25
569,0,0,4.2,244,1,2,69,32
570,1,0,4.0,771,1,2,66,23
571,1,0,4.2,1647,1,2,25,28
572,0,1,4.0,808,1,2,45,33
573,0,0,4.0,424,1,1,18,23
574,1,0,3.9,135,1,2,47,32
575,0,0,3.700141861024285,0,1,3,26,36
576,0,0,3.9,28,1,8,60,18
577,1,0,3.8,918,1,8,69,32
578,1,0,3.8,90,1,1,16,29
579,1,0,3.9,519,1,2,69,34
580,1,0,3.6,105,1,2,69,30
581,0,0,3.7,43,1,8,45,30
582,0,0,3.7,46,1,8,42,22
583,1,0,3.9,133,1,1,69,32
584,1,0,3.8,144,1,1,69,30
585,0,0,3.9,93,1,1,69,18
586,1,0,3.8,42,1,6,66,18
587,1,0,2.5,247,1,2,43,25
588,1,0,3.1,13,1,1,69,22
589,0,0,3.7,39,1,2,45,23
590,1,0,3.0,62,1,1,69,22
591,1,0,3.8,160,1,2,45,30
592,0,0,3.5,14,1,8,42,14
593,0,0,3.8,42,1,2,45,30
594,1,0,3.1,119,1,2,69,30
595,1,0,3.6,129,1,2,69,28
597,0,0,3.3,62,1,8,66,32
598,0,0,3.700141861024285,0,1,8,60,14
599,1,0,3.6,24,1,2,45,28
600,0,0,3.700141861024285,0,1,2,55,25
601,0,0,2.6,283,1,2,43,28
602,0,0,3.6,42,1,8,69,18
603,0,0,3.4,10,1,6,69,18
604,0,0,3.7,39,1,2,69,35
605,1,0,3.8,59,1,2,45,31
606,1,0,3.5,179,1,2,69,28
607,0,0,3.8,62,1,6,62,9
608,0,0,3.4,6,1,2,26,25
609,0,0,3.1,30,1,8,23,36
610,0,0,3.5,10,1,6,61,18
611,0,0,3.6,36,1,2,69,25
612,0,0,3.7,31,1,1,16,18
613,0,0,3.700141861024285,0,1,8,69,25
614,0,0,3.2,11,1,1,17,28
615,0,0,3.0,98,1,8,45,32
616,0,0,3.5,18,1,8,69,9
617,0,0,3.5,10,1,2,66,25
618,0,0,2.7,128,1,2,24,33
619,0,0,3.700141861024285,0,1,6,69,22
620,1,0,2.8,45,1,2,69,32
621,1,0,3.2,119,1,2,45,22
622,1,0,3.4,12,1,8,69,9
623,0,0,3.700141861024285,0,1,6,69,20
624,0,0,3.3,4,1,1,69,25
625,0,0,3.700141861024285,0,1,1,20,34
626,0,0,3.700141861024285,0,1,2,45,30
627,0,0,3.700141861024285,0,1,8,69,9
628,1,0,3.700141861024285,0,1,2,69,25
629,1,0,3.5,41,41,8,69,22
630,1,0,3.7,405,1,2,59,31
631,1,0,3.9,388,1,2,69,29
632,0,0,4.7,651,1,6,60,5
633,1,0,3.700141861024285,0,1,6,69,18
634,1,0,4.3,734,1,6,67,14
635,0,0,3.7,21,1,6,43,23
636,0,0,4.0,1047,1,6,69,23
637,1,0,3.8,505,1,6,15,23
638,0,0,3.6,55,1,6,33,14
639,1,0,3.9,264,1,6,60,14
640,1,0,3.8,133,1,6,69,18
641,0,0,3.700141861024285,0,1,6,60,5
642,1,0,3.9,286,1,6,15,25
643,0,0,4.4,343,1,6,60,5
644,1,0,3.6,66,1,6,60,9
645,1,0,3.4,10,1,6,60,5
646,1,0,3.8,61,1,6,45,18
647,0,0,3.8,70,1,6,32,25
648,1,0,3.6,28,1,6,14,18
649,1,0,3.8,70,1,6,60,5
650,1,0,3.8,28,1,6,31,9
651,1,0,3.5,15,1,6,69,17
652,1,0,3.8,131,1,6,9,17
653,0,0,3.8,19,1,6,60,9
654,1,0,3.7,237,1,6,64,14
655,1,0,3.3,6,1,6,65,25
656,1,0,4.1,201,1,6,67,18
657,1,0,2.8,506,1,6,69,25
658,0,0,4.1,520,1,6,69,18
659,0,0,3.700141861024285,0,1,6,43,9
660,1,0,3.8,104,1,6,10,18
661,0,0,3.7,88,1,6,65,18
662,1,0,3.6,95,1,6,69,9
663,1,0,3.7,136,1,6,69,28
664,1,0,3.8,101,1,6,10,22
665,1,0,4.2,60,1,6,67,14
666,0,0,3.9,88,1,6,60,17
667,0,0,3.5,8,1,6,60,14
668,0,0,3.4,145,1,6,69,18
669,1,0,3.6,46,1,6,69,25
670,1,0,3.4,22,1,6,60,14
671,1,0,3.9,57,1,6,67,14
672,0,0,3.8,189,1,6,60,18
673,0,0,3.7,22,1,6,31,25
674,1,0,3.6,18,1,6,34,17
675,1,0,3.7,73,1,6,10,22
676,0,0,3.8,39,1,6,63,20
677,1,0,3.9,540,1,6,59,32
678,0,0,3.6,71,1,6,55,17
679,1,0,3.6,24,1,6,69,17
680,0,0,3.700141861024285,0,1,6,62,5
